pairid	q_acc	r_acc	stratum	genus	species
GCF_000378805.1__GCF_000384015.1	GCF_000378805.1	GCF_000384015.1	95-97	g__Desulfitobacterium	
GCA_012842225.1__GCF_000378805.1	GCA_012842225.1	GCF_000378805.1	95-97	g__Desulfitobacterium	
GCF_003053525.1__GCF_900217725.1	GCF_003053525.1	GCF_900217725.1	95-97	g__Rhodobacter	
GCF_000506525.2__GCF_003053525.1	GCF_000506525.2	GCF_003053525.1	95-97	g__Rhodobacter	
GCF_900102155.1__GCF_900217725.1	GCF_900102155.1	GCF_900217725.1	95-97	g__Rhodobacter	
GCA_002774215.1__GCA_003524495.1	GCA_002774215.1	GCA_003524495.1	95-97	g__UBA1543	
GCA_002323755.1__GCA_003524495.1	GCA_002323755.1	GCA_003524495.1	95-97	g__UBA1543	
GCA_002323755.1__GCA_002789095.1	GCA_002323755.1	GCA_002789095.1	95-97	g__UBA1543	
GCF_000746075.1__GCF_001729285.1	GCF_000746075.1	GCF_001729285.1	95-97	g__Methanobacterium_D	
GCA_017886845.1__GCA_900759215.1	GCA_017886845.1	GCA_900759215.1	95-97	g__Scybalocola	
GCA_017886845.1__GCA_904382625.1	GCA_017886845.1	GCA_904382625.1	95-97	g__Scybalocola	
GCA_900759215.1__GCA_904382625.1	GCA_900759215.1	GCA_904382625.1	95-97	g__Scybalocola	
GCF_002368135.1__GCF_002893245.1	GCF_002368135.1	GCF_002893245.1	95-97	g__Raphidiopsis	
GCA_002321935.1__GCF_012583295.1	GCA_002321935.1	GCF_012583295.1	95-97	g__Raphidiopsis	
GCF_002368135.1__GCF_002893155.1	GCF_002368135.1	GCF_002893155.1	95-97	g__Raphidiopsis	
GCA_002377405.1__GCA_002725355.1	GCA_002377405.1	GCA_002725355.1	95-97	g__MedAcidi-G1	
GCA_002470885.1__GCA_902570085.1	GCA_002470885.1	GCA_902570085.1	95-97	g__MedAcidi-G1	
GCA_002377405.1__GCA_002730515.1	GCA_002377405.1	GCA_002730515.1	95-97	g__MedAcidi-G1	
GCA_900538935.1__GCA_903789455.1	GCA_900538935.1	GCA_903789455.1	95-97	g__Parafannyhessea	
GCA_902760375.1__GCA_902803615.1	GCA_902760375.1	GCA_902803615.1	95-97	g__Parafannyhessea	
GCA_900538935.1__GCA_902762045.1	GCA_900538935.1	GCA_902762045.1	95-97	g__Parafannyhessea	
GCF_004022445.1__GCF_017565345.1	GCF_004022445.1	GCF_017565345.1	95-97	g__Agrococcus	
GCF_000291725.1__GCF_902143345.1	GCF_000291725.1	GCF_902143345.1	95-97	g__Pectobacterium	
GCF_002921285.1__GCF_016950155.1	GCF_002921285.1	GCF_016950155.1	95-97	g__Pectobacterium	
GCF_001984525.1__GCF_014946865.1	GCF_001984525.1	GCF_014946865.1	95-97	g__Pectobacterium	
GCA_001316165.1__GCF_012027455.1	GCA_001316165.1	GCF_012027455.1	95-97	g__Thermococcus	
GCA_001315905.1__GCF_900109425.1	GCA_001315905.1	GCF_900109425.1	95-97	g__Thermococcus	
GCA_001316165.1__GCA_015521065.1	GCA_001316165.1	GCA_015521065.1	95-97	g__Thermococcus	
GCA_007125655.1__GCA_007130975.1	GCA_007125655.1	GCA_007130975.1	95-97	g__SLFT01	
GCA_007122625.1__GCA_007133815.1	GCA_007122625.1	GCA_007133815.1	95-97	g__SLFT01	
GCA_007122625.1__GCA_007125655.1	GCA_007122625.1	GCA_007125655.1	95-97	g__SLFT01	
GCF_000215525.1__GCF_000689615.1	GCF_000215525.1	GCF_000689615.1	95-97	g__Anaplasma	
GCF_000215525.1__GCF_900078505.1	GCF_000215525.1	GCF_900078505.1	95-97	g__Anaplasma	
GCF_008274665.1__GCF_900078505.1	GCF_008274665.1	GCF_900078505.1	95-97	g__Anaplasma	
GCA_017516405.1__GCA_902797865.1	GCA_017516405.1	GCA_902797865.1	95-97	g__CAZU01	
GCA_902797865.1__GCA_904502255.1	GCA_902797865.1	GCA_904502255.1	95-97	g__CAZU01	
GCA_015062425.1__GCA_905206785.1	GCA_015062425.1	GCA_905206785.1	95-97	g__CAZU01	
GCA_002396275.1__GCA_902755465.1	GCA_002396275.1	GCA_902755465.1	95-97	g__RUG191	
GCA_002392865.1__GCA_905233235.1	GCA_002392865.1	GCA_905233235.1	95-97	g__RUG191	
GCA_002396275.1__GCA_905233235.1	GCA_002396275.1	GCA_905233235.1	95-97	g__RUG191	
GCA_903867425.1__GCA_903894415.1	GCA_903867425.1	GCA_903894415.1	95-97	g__CAIKLP01	
GCA_903867425.1__GCA_903933865.1	GCA_903867425.1	GCA_903933865.1	95-97	g__CAIKLP01	
GCA_903933865.1__GCA_903952425.1	GCA_903933865.1	GCA_903952425.1	95-97	g__CAIKLP01	
GCF_004793685.1__GCF_009806145.1	GCF_004793685.1	GCF_009806145.1	95-97	g__Marinicauda	
GCF_004793685.1__GCF_014636415.1	GCF_004793685.1	GCF_014636415.1	95-97	g__Marinicauda	
GCF_009806145.1__GCF_014636415.1	GCF_009806145.1	GCF_014636415.1	95-97	g__Marinicauda	
GCA_003670495.1__GCA_003670555.1	GCA_003670495.1	GCA_003670555.1	95-97	g__BD1	
GCA_003670495.1__GCA_014191295.1	GCA_003670495.1	GCA_014191295.1	95-97	g__BD1	
GCA_003670555.1__GCA_014191295.1	GCA_003670555.1	GCA_014191295.1	95-97	g__BD1	
GCA_012966345.1__GCA_015660025.1	GCA_012966345.1	GCA_015660025.1	95-97	g__OPU3-GD-OMZ	
GCA_012966345.1__GCA_015664155.1	GCA_012966345.1	GCA_015664155.1	95-97	g__OPU3-GD-OMZ	
GCA_012959425.1__GCA_015664155.1	GCA_012959425.1	GCA_015664155.1	95-97	g__OPU3-GD-OMZ	
GCF_900773915.1__GCF_900773955.1	GCF_900773915.1	GCF_900773955.1	95-97	g__Methanococcoides	
GCF_900773915.1__GCF_900774285.1	GCF_900773915.1	GCF_900774285.1	95-97	g__Methanococcoides	
GCF_900773955.1__GCF_900774285.1	GCF_900773955.1	GCF_900774285.1	95-97	g__Methanococcoides	
GCF_012570535.1__GCF_012570965.1	GCF_012570535.1	GCF_012570965.1	95-97	g__GCA-012562765	
GCF_000835925.1__GCF_902506715.1	GCF_000835925.1	GCF_902506715.1	95-97	g__Citrobacter_A	
GCF_004167485.1__GCF_902506715.1	GCF_004167485.1	GCF_902506715.1	95-97	g__Citrobacter_A	
GCF_000835925.1__GCF_017154235.1	GCF_000835925.1	GCF_017154235.1	95-97	g__Citrobacter_A	
GCA_001898665.1__GCA_017307555.1	GCA_001898665.1	GCA_017307555.1	95-97	g__Acidovorax_C	
GCA_001898665.1__GCF_900116825.1	GCA_001898665.1	GCF_900116825.1	95-97	g__Acidovorax_C	
GCA_017307555.1__GCF_900116825.1	GCA_017307555.1	GCF_900116825.1	95-97	g__Acidovorax_C	
GCA_001430845.1__GCA_002322595.1	GCA_001430845.1	GCA_002322595.1	95-97	g__Peribacter	
GCA_001430845.1__GCA_003500185.1	GCA_001430845.1	GCA_003500185.1	95-97	g__Peribacter	
GCA_002322595.1__GCA_003500185.1	GCA_002322595.1	GCA_003500185.1	95-97	g__Peribacter	
GCA_013330185.1__GCA_016777245.1	GCA_013330185.1	GCA_016777245.1	95-97	g__MGIIa-L2	
GCA_002505415.1__GCA_902625045.1	GCA_002505415.1	GCA_902625045.1	95-97	g__MGIIa-L2	
GCA_002702035.1__GCA_002714545.1	GCA_002702035.1	GCA_002714545.1	95-97	g__MGIIa-L2	
GCA_900762505.1__GCA_905200235.1	GCA_900762505.1	GCA_905200235.1	95-97	g__Dialister	
GCA_016775295.1__GCA_900765645.1	GCA_016775295.1	GCA_900765645.1	95-97	g__Dialister	
GCA_900756585.1__GCA_902804095.1	GCA_900756585.1	GCA_902804095.1	95-97	g__Dialister	
GCA_002731975.1__GCA_902525525.1	GCA_002731975.1	GCA_902525525.1	95-97	g__UBA9148	
GCA_003136035.1__GCA_019237345.1	GCA_003136035.1	GCA_019237345.1	95-97	g__Bog-105	
GCA_019237345.1__GCA_019245125.1	GCA_019237345.1	GCA_019245125.1	95-97	g__Bog-105	
GCA_019237345.1__GCA_019240515.1	GCA_019237345.1	GCA_019240515.1	95-97	g__Bog-105	
GCA_002416265.1__GCF_009914665.1	GCA_002416265.1	GCF_009914665.1	95-97	g__Bergeyella_A	
GCA_900551215.1__GCA_905204125.1	GCA_900551215.1	GCA_905204125.1	95-97	g__CAG-977	
GCA_900551215.1__GCA_900765515.1	GCA_900551215.1	GCA_900765515.1	95-97	g__CAG-977	
GCA_900765515.1__GCA_905204125.1	GCA_900765515.1	GCA_905204125.1	95-97	g__CAG-977	
GCA_009838585.1__GCA_009838905.1	GCA_009838585.1	GCA_009838905.1	95-97	g__VXYL01	
GCA_009838585.1__GCA_009843225.1	GCA_009838585.1	GCA_009843225.1	95-97	g__VXYL01	
GCA_009838905.1__GCA_009843225.1	GCA_009838905.1	GCA_009843225.1	95-97	g__VXYL01	
GCF_014534785.1__GCF_014640455.1	GCF_014534785.1	GCF_014640455.1	95-97	g__Aquisalinus	
GCA_002366955.1__GCA_017961745.1	GCA_002366955.1	GCA_017961745.1	95-97	g__UBA1177	
GCA_016288405.1__GCA_017961745.1	GCA_016288405.1	GCA_017961745.1	95-97	g__UBA1177	
GCA_016288405.1__GCA_017394775.1	GCA_016288405.1	GCA_017394775.1	95-97	g__UBA1177	
GCA_902646095.1__GCA_902646375.1	GCA_902646095.1	GCA_902646375.1	95-97	g__Wolbachia	
GCA_902646555.1__GCF_018555315.1	GCA_902646555.1	GCF_018555315.1	95-97	g__Wolbachia	
GCA_902646095.1__GCA_902646575.1	GCA_902646095.1	GCA_902646575.1	95-97	g__Wolbachia	
GCF_000817245.1__GCF_004421255.1	GCF_000817245.1	GCF_004421255.1	95-97	g__Methylacidiphilum	
GCF_000817245.1__GCF_004421175.1	GCF_000817245.1	GCF_004421175.1	95-97	g__Methylacidiphilum	
GCF_004421195.1__GCF_017310525.1	GCF_004421195.1	GCF_017310525.1	95-97	g__Methylacidiphilum	
GCF_000217835.1__GCF_000786015.1	GCF_000217835.1	GCF_000786015.1	95-97	g__Weizmannia	
GCF_008974225.1__GCF_009936615.1	GCF_008974225.1	GCF_009936615.1	95-97	g__Weizmannia	
GCF_000526655.1__GCF_009936615.1	GCF_000526655.1	GCF_009936615.1	95-97	g__Weizmannia	
GCA_003452475.1__GCA_905181605.1	GCA_003452475.1	GCA_905181605.1	95-97	g__UBA9040	
GCF_004762015.1__GCF_011440285.1	GCF_004762015.1	GCF_011440285.1	95-97	g__Halostella	
GCA_017519125.1__GCA_902780715.1	GCA_017519125.1	GCA_902780715.1	95-97	g__UBA4293	
GCA_902776905.1__GCA_902780715.1	GCA_902776905.1	GCA_902780715.1	95-97	g__UBA4293	
GCA_002353875.1__GCA_902780715.1	GCA_002353875.1	GCA_902780715.1	95-97	g__UBA4293	
GCF_001619695.1__GCF_004134915.1	GCF_001619695.1	GCF_004134915.1	95-97	g__Crenobacter	
GCA_018658945.1__GCA_902564875.1	GCA_018658945.1	GCA_902564875.1	95-97	g__MedAcidi-G2B	
GCA_018658945.1__GCA_902565755.1	GCA_018658945.1	GCA_902565755.1	95-97	g__MedAcidi-G2B	
GCA_018654015.1__GCA_018658945.1	GCA_018654015.1	GCA_018658945.1	95-97	g__MedAcidi-G2B	
GCA_017852475.1__GCA_018680275.1	GCA_017852475.1	GCA_018680275.1	95-97	g__RFSX01	
GCA_017851615.1__GCA_017852475.1	GCA_017851615.1	GCA_017852475.1	95-97	g__RFSX01	
GCA_013043505.1__GCA_018680145.1	GCA_013043505.1	GCA_018680145.1	95-97	g__RFSX01	
GCA_018645285.1__GCA_018659985.1	GCA_018645285.1	GCA_018659985.1	95-97	g__GCA-2722105	
GCA_018646945.1__GCA_018674125.1	GCA_018646945.1	GCA_018674125.1	95-97	g__GCA-2722105	
GCA_018646945.1__GCA_018661055.1	GCA_018646945.1	GCA_018661055.1	95-97	g__GCA-2722105	
GCA_003488745.1__GCA_003516325.1	GCA_003488745.1	GCA_003516325.1	95-97	g__GWF2-50-93	
GCF_017168095.1__GCF_018612855.1	GCF_017168095.1	GCF_018612855.1	95-97	g__Lysobacter	
GCF_003789105.1__GCF_008033455.1	GCF_003789105.1	GCF_008033455.1	95-97	g__Lysobacter	
GCF_002355295.1__GCF_003233695.1	GCF_002355295.1	GCF_003233695.1	95-97	g__Lysobacter	
GCA_002437005.1__GCA_900754135.1	GCA_002437005.1	GCA_900754135.1	95-97	g__Onthovivens	
GCA_002437005.1__GCA_905198625.1	GCA_002437005.1	GCA_905198625.1	95-97	g__Onthovivens	
GCA_002298615.1__GCA_004558005.1	GCA_002298615.1	GCA_004558005.1	95-97	g__Onthovivens	
GCA_003331795.1__GCA_012269695.1	GCA_003331795.1	GCA_012269695.1	95-97	g__RCC307	
GCA_002171075.2__GCA_002450305.1	GCA_002171075.2	GCA_002450305.1	95-97	g__RCC307	
GCA_002171075.2__GCA_003331795.1	GCA_002171075.2	GCA_003331795.1	95-97	g__RCC307	
GCF_001429705.1__GCF_012845865.1	GCF_001429705.1	GCF_012845865.1	95-97	g__Yonghaparkia	
GCA_004213355.1__GCA_018647225.1	GCA_004213355.1	GCA_018647225.1	95-97	g__TMED58	
GCA_004213355.1__GCA_902604955.1	GCA_004213355.1	GCA_902604955.1	95-97	g__TMED58	
GCA_018647225.1__GCA_902604955.1	GCA_018647225.1	GCA_902604955.1	95-97	g__TMED58	
GCA_900078725.1__GCA_900078755.1	GCA_900078725.1	GCA_900078755.1	95-97	g__2013Ark19i	
GCA_900078725.1__GCA_900078765.1	GCA_900078725.1	GCA_900078765.1	95-97	g__2013Ark19i	
GCA_900078755.1__GCA_900078765.1	GCA_900078755.1	GCA_900078765.1	95-97	g__2013Ark19i	
GCA_001983535.1__GCA_002007285.1	GCA_001983535.1	GCA_002007285.1	95-97	g__Epulopiscium_A	
GCA_900765005.1__GCA_904419805.1	GCA_900765005.1	GCA_904419805.1	95-97	g__Limivivens	
GCA_014847735.1__GCA_902385245.1	GCA_014847735.1	GCA_902385245.1	95-97	g__Limivivens	
GCA_902385245.1__GCA_904377795.1	GCA_902385245.1	GCA_904377795.1	95-97	g__Limivivens	
GCA_003158775.1__GCA_003171435.1	GCA_003158775.1	GCA_003171435.1	95-97	g__Fen-1137	
GCA_003155895.1__GCA_003158775.1	GCA_003155895.1	GCA_003158775.1	95-97	g__Fen-1137	
GCA_003155895.1__GCA_003157735.1	GCA_003155895.1	GCA_003157735.1	95-97	g__Fen-1137	
GCF_002566505.1__GCF_003337685.1	GCF_002566505.1	GCF_003337685.1	95-97	g__Gottfriedia	
GCF_002555445.1__GCF_002566505.1	GCF_002555445.1	GCF_002566505.1	95-97	g__Gottfriedia	
GCF_002156925.1__GCF_002555445.1	GCF_002156925.1	GCF_002555445.1	95-97	g__Gottfriedia	
GCA_018364605.1__GCF_014287825.1	GCA_018364605.1	GCF_014287825.1	95-97	g__Clostridium	
GCF_015547475.1__GCF_902362765.1	GCF_015547475.1	GCF_902362765.1	95-97	g__Clostridium	
GCA_018365735.1__GCF_001010885.1	GCA_018365735.1	GCF_001010885.1	95-97	g__Clostridium	
GCF_003703925.1__GCF_900454465.1	GCF_003703925.1	GCF_900454465.1	95-97	g__Pannonibacter	
GCF_003703925.1__GCF_009915685.1	GCF_003703925.1	GCF_009915685.1	95-97	g__Pannonibacter	
GCF_001517385.1__GCF_900454465.1	GCF_001517385.1	GCF_900454465.1	95-97	g__Pannonibacter	
GCA_902756615.1__GCA_902761895.1	GCA_902756615.1	GCA_902761895.1	95-97	g__Ruminococcus	
GCA_000438435.1__GCA_902756245.1	GCA_000438435.1	GCA_902756245.1	95-97	g__Ruminococcus	
GCA_017627355.1__GCA_902782155.1	GCA_017627355.1	GCA_902782155.1	95-97	g__Ruminococcus	
GCA_009886795.1__GCA_902542575.1	GCA_009886795.1	GCA_902542575.1	95-97	g__LGRT01	
GCA_016780855.1__GCA_902542575.1	GCA_016780855.1	GCA_902542575.1	95-97	g__LGRT01	
GCA_002378545.1__GCA_016780855.1	GCA_002378545.1	GCA_016780855.1	95-97	g__LGRT01	
GCA_012727845.1__GCA_012838025.1	GCA_012727845.1	GCA_012838025.1	95-97	g__DTU032	
GCA_002398775.1__GCA_012838025.1	GCA_002398775.1	GCA_012838025.1	95-97	g__DTU032	
GCA_012513135.1__GCA_012838025.1	GCA_012513135.1	GCA_012838025.1	95-97	g__DTU032	
GCA_002385345.1__GCA_012032385.1	GCA_002385345.1	GCA_012032385.1	95-97	g__Rivularia	
GCA_002385315.1__GCA_012033295.1	GCA_002385315.1	GCA_012033295.1	95-97	g__Rivularia	
GCA_002385315.1__GCA_002385345.1	GCA_002385315.1	GCA_002385345.1	95-97	g__Rivularia	
GCA_002785085.1__GCA_002787895.1	GCA_002785085.1	GCA_002787895.1	95-97	g__GWC2-37-13	
GCA_000990725.1__GCA_002787905.1	GCA_000990725.1	GCA_002787905.1	95-97	g__GWC2-37-13	
GCA_002785085.1__GCA_002787905.1	GCA_002785085.1	GCA_002787905.1	95-97	g__GWC2-37-13	
GCA_017411825.1__GCA_018716885.1	GCA_017411825.1	GCA_018716885.1	95-97	g__Enterousia	
GCA_017505365.1__GCA_902756645.1	GCA_017505365.1	GCA_902756645.1	95-97	g__Enterousia	
GCA_015062485.1__GCA_902785395.1	GCA_015062485.1	GCA_902785395.1	95-97	g__Enterousia	
GCA_014866525.1__GCA_014866585.1	GCA_014866525.1	GCA_014866585.1	95-97	g__UBA11524	
GCA_014866525.1__GCA_017482445.1	GCA_014866525.1	GCA_017482445.1	95-97	g__UBA11524	
GCA_014866585.1__GCA_017482445.1	GCA_014866585.1	GCA_017482445.1	95-97	g__UBA11524	
GCA_016648035.1__GCF_000531755.1	GCA_016648035.1	GCF_000531755.1	95-97	g__Xenorhabdus	
GCF_002632595.1__GCF_014467265.1	GCF_002632595.1	GCF_014467265.1	95-97	g__Xenorhabdus	
GCF_000531755.1__GCF_002632765.1	GCF_000531755.1	GCF_002632765.1	95-97	g__Xenorhabdus	
GCA_003214715.1__GCA_003278005.1	GCA_003214715.1	GCA_003278005.1	95-97	g__Prochlorococcus_B	
GCA_003279505.1__GCA_003282515.1	GCA_003279505.1	GCA_003282515.1	95-97	g__Prochlorococcus_B	
GCA_003278005.1__GCA_003279505.1	GCA_003278005.1	GCA_003279505.1	95-97	g__Prochlorococcus_B	
GCA_002359335.1__GCF_014642795.1	GCA_002359335.1	GCF_014642795.1	95-97	g__Pseudohongiella	
GCA_002388485.1__GCA_011049985.1	GCA_002388485.1	GCA_011049985.1	95-97	g__Pseudohongiella	
GCA_003506255.1__GCF_001642775.1	GCA_003506255.1	GCF_001642775.1	95-97	g__Pseudohongiella	
GCA_014303495.1__GCA_015665395.1	GCA_014303495.1	GCA_015665395.1	95-97	g__Winogradskyella	
GCA_002433125.1__GCF_013394615.1	GCA_002433125.1	GCF_013394615.1	95-97	g__Winogradskyella	
GCA_018679435.1__GCF_014284085.1	GCA_018679435.1	GCF_014284085.1	95-97	g__Winogradskyella	
GCA_018663925.1__GCA_902530535.1	GCA_018663925.1	GCA_902530535.1	95-97	g__MGIIb-O3	
GCA_002731465.1__GCA_902604505.1	GCA_002731465.1	GCA_902604505.1	95-97	g__MGIIb-O3	
GCA_002689165.1__GCA_905478385.1	GCA_002689165.1	GCA_905478385.1	95-97	g__MGIIb-O3	
GCA_002706145.1__GCA_017643635.1	GCA_002706145.1	GCA_017643635.1	95-97	g__GCA-2696645	
GCA_002337615.1__GCA_002359345.1	GCA_002337615.1	GCA_002359345.1	95-97	g__GCA-2696645	
GCA_002359345.1__GCA_017643635.1	GCA_002359345.1	GCA_017643635.1	95-97	g__GCA-2696645	
GCA_011524325.1__GCF_004801455.1	GCA_011524325.1	GCF_004801455.1	95-97	g__Metabacillus	
GCF_007678955.1__GCF_903166545.1	GCF_007678955.1	GCF_903166545.1	95-97	g__Metabacillus	
GCA_011524325.1__GCF_001654695.1	GCA_011524325.1	GCF_001654695.1	95-97	g__Metabacillus	
GCA_002281975.1__GCA_014237225.1	GCA_002281975.1	GCA_014237225.1	95-97	g__Thiobacillus	
GCA_002282235.1__GCA_017304295.1	GCA_002282235.1	GCA_017304295.1	95-97	g__Thiobacillus	
GCA_002280425.1__GCA_018831045.1	GCA_002280425.1	GCA_018831045.1	95-97	g__Thiobacillus	
GCA_004563445.1__GCA_016296925.1	GCA_004563445.1	GCA_016296925.1	95-97	g__CAG-1024	
GCA_004553695.1__GCA_905210495.1	GCA_004553695.1	GCA_905210495.1	95-97	g__CAG-1024	
GCA_016296925.1__GCA_905210495.1	GCA_016296925.1	GCA_905210495.1	95-97	g__CAG-1024	
GCA_017510745.1__GCA_902803005.1	GCA_017510745.1	GCA_902803005.1	95-97	g__RUG440	
GCA_902759715.1__GCA_902803005.1	GCA_902759715.1	GCA_902803005.1	95-97	g__RUG440	
GCA_017510745.1__GCA_902759715.1	GCA_017510745.1	GCA_902759715.1	95-97	g__RUG440	
GCA_001823945.1__GCA_001824055.1	GCA_001823945.1	GCA_001824055.1	95-97	g__UBA5004	
GCA_001823795.1__GCA_001823945.1	GCA_001823795.1	GCA_001823945.1	95-97	g__UBA5004	
GCA_001824055.1__GCA_002791515.1	GCA_001824055.1	GCA_002791515.1	95-97	g__UBA5004	
GCF_003416965.1__GCF_009857635.1	GCF_003416965.1	GCF_009857635.1	95-97	g__Duganella	
GCF_009380165.1__GCF_009674525.1	GCF_009380165.1	GCF_009674525.1	95-97	g__Duganella	
GCF_009380165.1__GCF_009857635.1	GCF_009380165.1	GCF_009857635.1	95-97	g__Duganella	
GCA_910588385.1__GCF_010206345.1	GCA_910588385.1	GCF_010206345.1	95-97	g__Coprocola	
GCA_017889225.1__GCA_910588385.1	GCA_017889225.1	GCA_910588385.1	95-97	g__Coprocola	
GCA_017889225.1__GCF_010206345.1	GCA_017889225.1	GCF_010206345.1	95-97	g__Coprocola	
GCA_002397715.1__GCA_002397995.1	GCA_002397715.1	GCA_002397995.1	95-97	g__Aminobacterium	
GCA_012519235.1__GCA_018434465.1	GCA_012519235.1	GCA_018434465.1	95-97	g__Aminobacterium	
GCA_002397715.1__GCA_018434465.1	GCA_002397715.1	GCA_018434465.1	95-97	g__Aminobacterium	
GCA_017400105.1__GCA_017400245.1	GCA_017400105.1	GCA_017400245.1	95-97	g__RGIG2707	
GCA_017400105.1__GCA_017418745.1	GCA_017400105.1	GCA_017418745.1	95-97	g__RGIG2707	
GCA_017400245.1__GCA_017418745.1	GCA_017400245.1	GCA_017418745.1	95-97	g__RGIG2707	
GCA_000307585.2__GCF_002250075.1	GCA_000307585.2	GCF_002250075.1	95-97	g__Thermoanaerobacterium	
GCA_000307585.2__GCF_002701205.1	GCA_000307585.2	GCF_002701205.1	95-97	g__Thermoanaerobacterium	
GCF_002250075.1__GCF_002701205.1	GCF_002250075.1	GCF_002701205.1	95-97	g__Thermoanaerobacterium	
GCA_016652895.1__GCF_014852035.1	GCA_016652895.1	GCF_014852035.1	95-97	g__Ensifer	
GCF_014852425.1__GCF_017873015.1	GCF_014852425.1	GCF_017873015.1	95-97	g__Ensifer	
GCA_013421725.1__GCA_900473575.1	GCA_013421725.1	GCA_900473575.1	95-97	g__Ensifer	
GCA_009937485.1__GCA_013867285.1	GCA_009937485.1	GCA_013867285.1	95-97	g__JACEMX01	
GCA_009937485.1__GCA_011772925.1	GCA_009937485.1	GCA_011772925.1	95-97	g__JACEMX01	
GCA_011772925.1__GCA_013867285.1	GCA_011772925.1	GCA_013867285.1	95-97	g__JACEMX01	
GCF_001681635.1__GCF_002796795.1	GCF_001681635.1	GCF_002796795.1	95-97	g__Epibacterium	
GCF_001682005.1__GCF_002796795.1	GCF_001682005.1	GCF_002796795.1	95-97	g__Epibacterium	
GCF_001681635.1__GCF_001682005.1	GCF_001681635.1	GCF_001682005.1	95-97	g__Epibacterium	
GCA_007118715.1__GCA_007132665.1	GCA_007118715.1	GCA_007132665.1	95-97	g__PUPG01	
GCA_003562935.1__GCA_007126725.1	GCA_003562935.1	GCA_007126725.1	95-97	g__PUPG01	
GCA_003562935.1__GCA_007126935.1	GCA_003562935.1	GCA_007126935.1	95-97	g__PUPG01	
GCA_902760255.1__GCA_902801085.1	GCA_902760255.1	GCA_902801085.1	95-97	g__RUG369	
GCA_902760095.1__GCA_902801085.1	GCA_902760095.1	GCA_902801085.1	95-97	g__RUG369	
GCA_902760095.1__GCA_902760255.1	GCA_902760095.1	GCA_902760255.1	95-97	g__RUG369	
GCF_900177785.1__GCF_902375075.1	GCF_900177785.1	GCF_902375075.1	95-97	g__Cedecea	
GCF_002393445.1__GCF_013386425.1	GCF_002393445.1	GCF_013386425.1	95-97	g__Cedecea	
GCF_900177785.1__GCF_900446735.1	GCF_900177785.1	GCF_900446735.1	95-97	g__Cedecea	
GCA_003551885.1__GCA_007134975.1	GCA_003551885.1	GCA_007134975.1	95-97	g__T1Sed10-49	
GCA_003551885.1__GCA_007121875.1	GCA_003551885.1	GCA_007121875.1	95-97	g__T1Sed10-49	
GCA_003550735.1__GCA_007121875.1	GCA_003550735.1	GCA_007121875.1	95-97	g__T1Sed10-49	
GCF_900198635.1__GCF_900638485.1	GCF_900198635.1	GCF_900638485.1	95-97	g__Helicobacter_G	
GCF_900198475.1__GCF_900198635.1	GCF_900198475.1	GCF_900198635.1	95-97	g__Helicobacter_G	
GCF_900198475.1__GCF_900638485.1	GCF_900198475.1	GCF_900638485.1	95-97	g__Helicobacter_G	
GCA_002433045.1__GCA_002480655.1	GCA_002433045.1	GCA_002480655.1	95-97	g__Ketobacter	
GCA_002433045.1__GCA_003667185.1	GCA_002433045.1	GCA_003667185.1	95-97	g__Ketobacter	
GCA_002480655.1__GCA_003667185.1	GCA_002480655.1	GCA_003667185.1	95-97	g__Ketobacter	
GCA_013329685.1__GCF_902827225.1	GCA_013329685.1	GCF_902827225.1	95-97	g__Methanocaldococcus	
GCA_002453905.1__GCF_007680755.1	GCA_002453905.1	GCF_007680755.1	95-97	g__Agrobacterium	
GCF_000518585.1__GCF_009498615.1	GCF_000518585.1	GCF_009498615.1	95-97	g__Agrobacterium	
GCA_900471955.1__GCF_013320855.1	GCA_900471955.1	GCF_013320855.1	95-97	g__Agrobacterium	
GCA_016302115.1__GCA_017384485.1	GCA_016302115.1	GCA_017384485.1	95-97	g__UBA738	
GCA_016302115.1__GCA_018379115.1	GCA_016302115.1	GCA_018379115.1	95-97	g__UBA738	
GCA_014869255.1__GCA_018379115.1	GCA_014869255.1	GCA_018379115.1	95-97	g__UBA738	
GCA_900609015.1__GCF_900113405.1	GCA_900609015.1	GCF_900113405.1	95-97	g__Palleronia	
GCA_002365365.1__GCA_012966235.1	GCA_002365365.1	GCA_012966235.1	95-97	g__UBA2125	
GCA_012966235.1__GCA_015663465.1	GCA_012966235.1	GCA_015663465.1	95-97	g__UBA2125	
GCA_002434865.1__GCA_015663465.1	GCA_002434865.1	GCA_015663465.1	95-97	g__UBA2125	
GCA_000508445.1__GCA_900759275.1	GCA_000508445.1	GCA_900759275.1	95-97	g__Intestinibacter	
GCA_000508445.1__GCA_900066685.1	GCA_000508445.1	GCA_900066685.1	95-97	g__Intestinibacter	
GCA_900066685.1__GCA_900540355.1	GCA_900066685.1	GCA_900540355.1	95-97	g__Intestinibacter	
GCA_017856655.1__GCA_903862535.1	GCA_017856655.1	GCA_903862535.1	95-97	g__UBA953	
GCA_903891765.1__GCA_903926065.1	GCA_903891765.1	GCA_903926065.1	95-97	g__UBA953	
GCA_002290595.1__GCA_903862535.1	GCA_002290595.1	GCA_903862535.1	95-97	g__UBA953	
GCA_900545595.1__GCA_905206265.1	GCA_900545595.1	GCA_905206265.1	95-97	g__AM51-8	
