query	reference	band	group	band_by_ani	query_path	ref_path
GCF_000702545.1	GCA_017635515.1	0.85-0.9	p__Firmicutes_C	0.8649	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000702545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017635515.1.fna
GCA_902782705.1	GCA_017619685.1	0.85-0.9	p__Firmicutes_C	0.8916	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902782705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017619685.1.fna
GCA_017444395.1	GCA_016280345.1	0.85-0.9	p__Firmicutes_C	0.8657	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017444395.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016280345.1.fna
GCA_017635515.1	GCA_015058655.1	0.85-0.9	p__Firmicutes_C	0.8917	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017635515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015058655.1.fna
GCF_003992005.1	GCF_003992055.1	0.85-0.9	p__Firmicutes_C	0.8742	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003992005.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003992055.1.fna
GCF_000024945.1	GCA_900552445.1	0.85-0.9	p__Firmicutes_C	0.8958	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000024945.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900552445.1.fna
GCA_900554395.1	GCA_000436095.1	0.85-0.9	p__Firmicutes_C	0.8601	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900554395.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000436095.1.fna
GCA_012798135.1	GCA_002329525.1	0.85-0.9	p__Firmicutes_C	0.8936	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012798135.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002329525.1.fna
GCF_000702545.1	GCA_902780915.1	0.85-0.9	p__Firmicutes_C	0.8560	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000702545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902780915.1.fna
GCF_000286455.1	GCF_000234095.1	0.85-0.9	p__Firmicutes_C	0.8629	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000286455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000234095.1.fna
GCF_900114615.1	GCF_000271665.2	0.85-0.9	p__Firmicutes_C	0.8838	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900114615.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000271665.2.fna
GCA_002314325.1	GCA_900554895.1	0.85-0.9	p__Firmicutes_C	0.8674	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002314325.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900554895.1.fna
GCF_900111575.1	GCF_900142275.1	0.85-0.9	p__Firmicutes_D	0.8651	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900111575.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900142275.1.fna
GCA_012841735.1	GCA_012521345.1	0.85-0.9	p__Firmicutes_D	0.8552	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012841735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012521345.1.fna
GCA_018725345.1	GCA_018333455.1	0.85-0.9	p__Firmicutes_D	0.8687	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018725345.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018333455.1.fna
GCA_018335695.1	GCA_018333635.1	0.85-0.9	p__Firmicutes_D	0.8820	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018335695.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018333635.1.fna
GCA_012522075.1	GCA_012521345.1	0.85-0.9	p__Firmicutes_D	0.8785	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012522075.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012521345.1.fna
GCA_018333455.1	GCA_018333635.1	0.85-0.9	p__Firmicutes_D	0.8545	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018333455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018333635.1.fna
GCF_001280565.1	GCF_900176145.1	0.85-0.9	p__Firmicutes_E	0.8836	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001280565.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900176145.1.fna
GCA_012842495.1	GCA_014896535.1	0.85-0.9	p__Firmicutes_E	0.8740	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012842495.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014896535.1.fna
GCF_000009905.1	GCA_003242675.1	0.85-0.9	p__Firmicutes_E	0.8758	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000009905.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003242675.1.fna
GCF_001693735.1	GCF_003001995.1	0.85-0.9	p__Firmicutes_F	0.8592	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001693735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003001995.1.fna
GCA_015666175.1	GCA_007130465.1	0.85-0.9	p__Firmicutes_F	0.8761	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015666175.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_007130465.1.fna
GCA_002398515.1	GCA_012512055.1	0.85-0.9	p__Firmicutes_G	0.8819	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002398515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012512055.1.fna
GCA_012735195.1	GCA_012839115.1	0.85-0.9	p__Firmicutes_G	0.8685	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012735195.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012839115.1.fna
GCA_012799075.1	GCA_012522085.1	0.85-0.9	p__Firmicutes_G	0.8560	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012799075.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012522085.1.fna
GCA_012727895.1	GCA_012839115.1	0.85-0.9	p__Firmicutes_G	0.8538	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012727895.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012839115.1.fna
GCA_012727675.1	GCA_012735435.1	0.85-0.9	p__Firmicutes_G	0.8901	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012727675.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012735435.1.fna
GCA_012521755.1	GCA_012522085.1	0.85-0.9	p__Firmicutes_G	0.8759	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012521755.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012522085.1.fna
GCF_008327825.1	GCF_000469385.1	0.85-0.9	p__Fusobacteriota	0.8591	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_008327825.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000469385.1.fna
GCF_000426625.1	GCA_002084825.1	0.85-0.9	p__Fusobacteriota	0.8670	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000426625.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002084825.1.fna
GCF_000023905.1	GCF_007990635.1	0.85-0.9	p__Fusobacteriota	0.8833	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000023905.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007990635.1.fna
GCF_000469505.1	GCF_001274535.1	0.85-0.9	p__Fusobacteriota	0.8931	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000469505.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001274535.1.fna
GCF_000482505.1	GCF_007990635.1	0.85-0.9	p__Fusobacteriota	0.8840	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000482505.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007990635.1.fna
GCA_013361745.1	GCA_013361935.1	0.85-0.9	p__Gemmatimonadota	0.8880	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361935.1.fna
GCA_002238605.1	GCA_012267435.1	0.85-0.9	p__Gemmatimonadota	0.8874	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002238605.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012267435.1.fna
GCA_009840525.1	GCA_002238605.1	0.85-0.9	p__Gemmatimonadota	0.8791	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009840525.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002238605.1.fna
GCA_009838765.1	GCA_012270965.1	0.85-0.9	p__Gemmatimonadota	0.8740	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009838765.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270965.1.fna
GCA_017881545.1	GCA_017881465.1	0.85-0.9	p__Gemmatimonadota	0.8714	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017881545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017881465.1.fna
GCA_016712265.1	GCA_016794835.1	0.85-0.9	p__Gemmatimonadota	0.8816	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016712265.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016794835.1.fna
GCA_002238605.1	GCA_009843625.1	0.85-0.9	p__Gemmatimonadota	0.8857	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002238605.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009843625.1.fna
GCA_002724575.1	GCA_002501085.1	0.85-0.9	p__Gemmatimonadota	0.8753	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002724575.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002501085.1.fna
GCA_003142495.1	GCA_013697785.1	0.85-0.9	p__Gemmatimonadota	0.8651	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003142495.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013697785.1.fna
GCA_012270965.1	GCA_009840115.1	0.85-0.9	p__Gemmatimonadota	0.8812	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270965.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009840115.1.fna
GCA_002839855.1	GCA_016937715.1	0.85-0.9	p__Goldbacteria	0.8949	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002839855.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016937715.1.fna
GCA_018725485.1	GCA_018725175.1	0.85-0.9	p__HKB111	0.8619	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018725485.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018725175.1.fna
GCA_001515185.1	GCA_004375695.1	0.85-0.9	p__Hadarchaeota	0.8993	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001515185.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_004375695.1.fna
GCF_000328685.1	GCF_000337675.1	0.85-0.9	p__Halobacteriota	0.8674	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000328685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337675.1.fna
GCF_000336635.1	GCF_000337775.1	0.85-0.9	p__Halobacteriota	0.8875	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000336635.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337775.1.fna
GCA_003162175.1	GCA_003139855.1	0.85-0.9	p__Halobacteriota	0.8913	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003162175.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003139855.1.fna
GCA_016926855.1	GCA_001412355.1	0.85-0.9	p__Halobacteriota	0.8927	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016926855.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001412355.1.fna
GCF_000196895.1	GCF_001593955.1	0.85-0.9	p__Halobacteriota	0.8552	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000196895.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001593955.1.fna
GCA_011048835.1	GCA_016841665.1	0.85-0.9	p__Halobacteriota	0.8566	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011048835.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016841665.1.fna
GCF_000328685.1	GCA_003559215.1	0.85-0.9	p__Halobacteriota	0.8701	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000328685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003559215.1.fna
GCA_012910725.1	GCA_905067535.1	0.85-0.9	p__Halobacteriota	0.8811	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012910725.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905067535.1.fna
GCF_014647115.1	GCF_014647155.1	0.85-0.9	p__Halobacteriota	0.8989	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014647115.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014647155.1.fna
GCF_000336615.1	GCF_001280425.1	0.85-0.9	p__Halobacteriota	0.8922	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000336615.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001280425.1.fna
GCA_016926455.1	GCA_016935475.1	0.85-0.9	p__Halobacteriota	0.8562	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016926455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016935475.1.fna
GCA_015520115.1	GCF_000025505.1	0.85-0.9	p__Halobacteriota	0.8690	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015520115.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000025505.1.fna
GCF_013415885.1	GCF_000337455.1	0.85-0.9	p__Halobacteriota	0.8962	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_013415885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337455.1.fna
GCF_016065055.1	GCF_000337455.1	0.85-0.9	p__Halobacteriota	0.8956	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016065055.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337455.1.fna
GCA_905067555.1	GCA_012910725.1	0.85-0.9	p__Halobacteriota	0.8765	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905067555.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012910725.1.fna
GCF_002487355.1	GCA_905339155.1	0.85-0.9	p__Halobacteriota	0.8621	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002487355.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905339155.1.fna
GCA_003022745.1	GCA_018609945.1	0.85-0.9	p__Halobacteriota	0.8617	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003022745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018609945.1.fna
GCF_003781945.1	GCF_001261915.1	0.85-0.9	p__Halobacteriota	0.8656	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003781945.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001261915.1.fna
GCF_000711215.1	GCA_017553245.1	0.85-0.9	p__Halobacteriota	0.8908	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000711215.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017553245.1.fna
GCF_007004735.1	GCF_002906575.1	0.85-0.9	p__Halobacteriota	0.8549	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007004735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002906575.1.fna
GCA_012511245.1	GCF_001017125.1	0.85-0.9	p__Halobacteriota	0.8659	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012511245.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001017125.1.fna
GCA_007128515.1	GCA_007129135.1	0.85-0.9	p__Halobacteriota	0.8987	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_007128515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_007129135.1.fna
GCA_016841625.1	GCA_016841265.1	0.85-0.9	p__Halobacteriota	0.8710	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016841625.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016841265.1.fna
GCF_000970045.1	GCA_016841625.1	0.85-0.9	p__Halobacteriota	0.8699	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000970045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016841625.1.fna
GCA_001896715.1	GCA_019136335.1	0.85-0.9	p__Halobacteriota	0.8940	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001896715.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019136335.1.fna
GCA_018609665.1	GCA_003020965.1	0.85-0.9	p__Halobacteriota	0.8990	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018609665.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003020965.1.fna
GCF_001469955.1	GCF_003439925.1	0.85-0.9	p__Halobacteriota	0.8602	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001469955.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003439925.1.fna
GCF_900110215.1	GCF_004118325.1	0.85-0.9	p__Halobacteriota	0.8909	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900110215.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004118325.1.fna
GCF_000328685.1	GCF_000337695.1	0.85-0.9	p__Halobacteriota	0.8798	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000328685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337695.1.fna
GCA_013329455.1	GCA_002502785.1	0.85-0.9	p__Halobacteriota	0.8660	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013329455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002502785.1.fna
GCF_017874335.1	GCF_014647115.1	0.85-0.9	p__Halobacteriota	0.8873	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_017874335.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014647115.1.fna
GCF_004681185.1	GCF_010119205.1	0.85-0.9	p__Halobacteriota	0.8973	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004681185.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_010119205.1.fna
GCA_003336485.1	GCA_013139985.1	0.85-0.9	p__Halobacteriota	0.8960	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003336485.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013139985.1.fna
GCF_014647155.1	GCF_017874335.1	0.85-0.9	p__Halobacteriota	0.8730	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014647155.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_017874335.1.fna
GCF_004799685.1	GCF_000739575.1	0.85-0.9	p__Halobacteriota	0.8514	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_004799685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000739575.1.fna
GCF_900116205.1	GCF_000517625.1	0.85-0.9	p__Halobacteriota	0.8724	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900116205.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000517625.1.fna
GCA_001602645.1	GCF_000235565.1	0.85-0.9	p__Halobacteriota	0.8947	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001602645.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000235565.1.fna
GCF_002025255.2	GCF_000739555.1	0.85-0.9	p__Halobacteriota	0.8698	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002025255.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000739555.1.fna
GCA_015661395.1	GCA_003158275.1	0.85-0.9	p__Halobacteriota	0.8896	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015661395.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003158275.1.fna
GCF_002844335.1	GCF_000337775.1	0.85-0.9	p__Halobacteriota	0.8978	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002844335.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000337775.1.fna
GCA_003552765.1	GCA_007118235.1	0.85-0.9	p__Hydrogenedentota	0.8818	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003552765.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_007118235.1.fna
GCA_011338105.1	GCA_000493945.1	0.85-0.9	p__Hydrogenedentota	0.8961	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011338105.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000493945.1.fna
GCA_003230355.1	GCA_002923215.1	0.85-0.9	p__Hydrothermarchaeota	0.8787	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003230355.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002923215.1.fna
GCA_015521945.1	GCA_013152995.1	0.85-0.9	p__Hydrothermarchaeota	0.8676	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015521945.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013152995.1.fna
GCA_016187745.1	GCA_018304445.1	0.85-0.9	p__Iainarchaeota	0.8909	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016187745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018304445.1.fna
GCA_009837395.1	GCA_012270975.1	0.85-0.9	p__JAAXHH01	0.8681	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009837395.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270975.1.fna
GCA_012270975.1	GCA_009841265.1	0.85-0.9	p__JAAXHH01	0.8696	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270975.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009841265.1.fna
GCA_903847545.1	GCA_903859215.1	0.85-0.9	p__Krumholzibacteriota	0.8938	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903847545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903859215.1.fna
GCA_002691365.1	GCA_002707905.1	0.85-0.9	p__Marinisomatota	0.8624	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002691365.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002707905.1.fna
GCA_012964825.1	GCA_004124465.1	0.85-0.9	p__Marinisomatota	0.8870	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012964825.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_004124465.1.fna
GCA_003644575.1	GCA_001509335.1	0.85-0.9	p__Marinisomatota	0.8537	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003644575.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001509335.1.fna
GCA_902525615.1	GCA_902624275.1	0.85-0.9	p__Marinisomatota	0.8853	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902525615.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902624275.1.fna
GCA_002256485.1	GCA_002436185.1	0.85-0.9	p__Marinisomatota	0.8720	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002256485.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002436185.1.fna
GCA_902581045.1	GCA_002713455.1	0.85-0.9	p__Marinisomatota	0.8631	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902581045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002713455.1.fna
GCA_002471865.1	GCA_002402135.1	0.85-0.9	p__Marinisomatota	0.8543	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002471865.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002402135.1.fna
GCF_003264935.1	GCA_012840175.1	0.85-0.9	p__Methanobacteriota	0.8795	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003264935.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012840175.1.fna
GCA_011370395.1	GCA_001507955.1	0.85-0.9	p__Methanobacteriota	0.8586	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011370395.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001507955.1.fna
